 Сортировка выбором, Случайный, 1000, 0.0054874 сек
 Сортировка выбором, Случайный, 10000, 0.471047 сек
 Сортировка выбором, Случайный, 20000, 1.8086 сек
 Сортировка выбором, Случайный, 30000, 4.07196 сек
 Сортировка выбором, Случайный, 40000, 7.31186 сек
 Сортировка выбором, Случайный, 50000, 11.1879 сек
 Сортировка выбором, Случайный, 60000, 16.0859 сек
 Сортировка выбором, Случайный, 70000, 22.0951 сек
 Сортировка выбором, Случайный, 80000, 28.5903 сек
 Сортировка выбором, Случайный, 90000, 37.6195 сек
 Сортировка выбором, Случайный, 100000, 47.2119 сек
 Сортировка выбором, Почти отсортированный, 1000, 0.0053634 сек
 Сортировка выбором, Почти отсортированный, 10000, 0.478778 сек
 Сортировка выбором, Почти отсортированный, 20000, 1.87156 сек
 Сортировка выбором, Почти отсортированный, 30000, 4.21438 сек
 Сортировка выбором, Почти отсортированный, 40000, 7.33818 сек
 Сортировка выбором, Почти отсортированный, 50000, 11.458 сек
 Сортировка выбором, Почти отсортированный, 60000, 16.4753 сек
 Сортировка выбором, Почти отсортированный, 70000, 22.3034 сек
 Сортировка выбором, Почти отсортированный, 80000, 29.1333 сек
 Сортировка выбором, Почти отсортированный, 90000, 36.8841 сек
 Сортировка выбором, Почти отсортированный, 100000, 44.6906 сек
 Сортировка выбором, Отсортированный в обратном порядке, 1000, 0.0043661 сек
 Сортировка выбором, Отсортированный в обратном порядке, 10000, 0.436258 сек
 Сортировка выбором, Отсортированный в обратном порядке, 20000, 1.7956 сек
 Сортировка выбором, Отсортированный в обратном порядке, 30000, 4.00434 сек
 Сортировка выбором, Отсортированный в обратном порядке, 40000, 7.16329 сек
 Сортировка выбором, Отсортированный в обратном порядке, 50000, 11.1845 сек
 Сортировка выбором, Отсортированный в обратном порядке, 60000, 16.1986 сек
 Сортировка выбором, Отсортированный в обратном порядке, 70000, 22.06 сек
 Сортировка выбором, Отсортированный в обратном порядке, 80000, 28.4885 сек
 Сортировка выбором, Отсортированный в обратном порядке, 90000, 36.2999 сек
 Сортировка выбором, Отсортированный в обратном порядке, 100000, 45.1045 сек
 Сортировка выбором, Отсортированный, 1000, 0.0045141 сек
 Сортировка выбором, Отсортированный, 10000, 0.454962 сек
 Сортировка выбором, Отсортированный, 20000, 1.84525 сек
 Сортировка выбором, Отсортированный, 30000, 4.19009 сек
 Сортировка выбором, Отсортированный, 40000, 7.30529 сек
 Сортировка выбором, Отсортированный, 50000, 11.3713 сек
 Сортировка выбором, Отсортированный, 60000, 16.4251 сек
 Сортировка выбором, Отсортированный, 70000, 22.5651 сек
 Сортировка выбором, Отсортированный, 80000, 29.5343 сек
 Сортировка выбором, Отсортированный, 90000, 37.2215 сек
 Сортировка выбором, Отсортированный, 100000, 45.8976 сек
 Сортировка вставками, Случайный, 1000, 0.0041126 сек
 Сортировка вставками, Случайный, 10000, 0.430544 сек
 Сортировка вставками, Случайный, 20000, 1.66039 сек
 Сортировка вставками, Случайный, 30000, 3.71439 сек
 Сортировка вставками, Случайный, 40000, 6.6194 сек
 Сортировка вставками, Случайный, 50000, 10.3443 сек
 Сортировка вставками, Случайный, 60000, 14.7993 сек
 Сортировка вставками, Случайный, 70000, 20.1905 сек
 Сортировка вставками, Случайный, 80000, 26.291 сек
 Сортировка вставками, Случайный, 90000, 33.0012 сек
 Сортировка вставками, Случайный, 100000, 40.374 сек
 Сортировка вставками, Почти отсортированный, 1000, 0.001439 сек
 Сортировка вставками, Почти отсортированный, 10000, 0.151245 сек
 Сортировка вставками, Почти отсортированный, 20000, 0.585315 сек
 Сортировка вставками, Почти отсортированный, 30000, 1.33523 сек
 Сортировка вставками, Почти отсортированный, 40000, 2.31994 сек
 Сортировка вставками, Почти отсортированный, 50000, 3.64787 сек
 Сортировка вставками, Почти отсортированный, 60000, 5.32143 сек
 Сортировка вставками, Почти отсортированный, 70000, 7.18634 сек
 Сортировка вставками, Почти отсортированный, 80000, 9.44657 сек
 Сортировка вставками, Почти отсортированный, 90000, 12.0785 сек
 Сортировка вставками, Почти отсортированный, 100000, 14.8145 сек
 Сортировка вставками, Отсортированный в обратном порядке, 1000, 0.0082849 сек
 Сортировка вставками, Отсортированный в обратном порядке, 10000, 0.817853 сек
 Сортировка вставками, Отсортированный в обратном порядке, 20000, 3.30161 сек
 Сортировка вставками, Отсортированный в обратном порядке, 30000, 7.55037 сек
 Сортировка вставками, Отсортированный в обратном порядке, 40000, 13.3187 сек
 Сортировка вставками, Отсортированный в обратном порядке, 50000, 20.3648 сек
 Сортировка вставками, Отсортированный в обратном порядке, 60000, 29.5044 сек
 Сортировка вставками, Отсортированный в обратном порядке, 70000, 40.8788 сек
 Сортировка вставками, Отсортированный в обратном порядке, 80000, 52.3875 сек
 Сортировка вставками, Отсортированный в обратном порядке, 90000, 66.5921 сек
 Сортировка вставками, Отсортированный в обратном порядке, 100000, 81.101 сек
 Сортировка вставками, Отсортированный, 1000, 1.2e-05 сек
 Сортировка вставками, Отсортированный, 10000, 0.0001212 сек
 Сортировка вставками, Отсортированный, 20000, 0.0003379 сек
 Сортировка вставками, Отсортированный, 30000, 0.00042 сек
 Сортировка вставками, Отсортированный, 40000, 0.00047 сек
 Сортировка вставками, Отсортированный, 50000, 0.0005773 сек
 Сортировка вставками, Отсортированный, 60000, 0.0006889 сек
 Сортировка вставками, Отсортированный, 70000, 0.0008051 сек
 Сортировка вставками, Отсортированный, 80000, 0.0010288 сек
 Сортировка вставками, Отсортированный, 90000, 0.0010392 сек
 Сортировка вставками, Отсортированный, 100000, 0.001124 сек
 Сортировка пузырьком, Случайный, 1000, 0.0086792 сек
 Сортировка пузырьком, Случайный, 10000, 0.832363 сек
 Сортировка пузырьком, Случайный, 20000, 3.3484 сек
 Сортировка пузырьком, Случайный, 30000, 7.53348 сек
 Сортировка пузырьком, Случайный, 40000, 13.4737 сек
 Сортировка пузырьком, Случайный, 50000, 20.974 сек
 Сортировка пузырьком, Случайный, 60000, 30.1233 сек
 Сортировка пузырьком, Случайный, 70000, 41.6849 сек
 Сортировка пузырьком, Случайный, 80000, 53.671 сек
 Сортировка пузырьком, Случайный, 90000, 68.028 сек
 Сортировка пузырьком, Случайный, 100000, 85.133 сек
 Сортировка пузырьком, Почти отсортированный, 1000, 0.0054507 сек
 Сортировка пузырьком, Почти отсортированный, 10000, 0.57513 сек
 Сортировка пузырьком, Почти отсортированный, 20000, 2.16395 сек
 Сортировка пузырьком, Почти отсортированный, 30000, 4.66287 сек
 Сортировка пузырьком, Почти отсортированный, 40000, 8.234 сек
 Сортировка пузырьком, Почти отсортированный, 50000, 12.8193 сек
 Сортировка пузырьком, Почти отсортированный, 60000, 18.5179 сек
 Сортировка пузырьком, Почти отсортированный, 70000, 25.2651 сек
 Сортировка пузырьком, Почти отсортированный, 80000, 32.906 сек
 Сортировка пузырьком, Почти отсортированный, 90000, 41.6958 сек
 Сортировка пузырьком, Почти отсортированный, 100000, 51.8445 сек
 Сортировка пузырьком, Отсортированный в обратном порядке, 1000, 0.0094469 сек
 Сортировка пузырьком, Отсортированный в обратном порядке, 10000, 0.954124 сек
 Сортировка пузырьком, Отсортированный в обратном порядке, 20000, 3.81346 сек
 Сортировка пузырьком, Отсортированный в обратном порядке, 30000, 8.64156 сек
 Сортировка пузырьком, Отсортированный в обратном порядке, 40000, 15.2844 сек
 Сортировка пузырьком, Отсортированный в обратном порядке, 50000, 23.803 сек
 Сортировка пузырьком, Отсортированный в обратном порядке, 60000, 34.2722 сек
 Сортировка пузырьком, Отсортированный в обратном порядке, 70000, 46.7185 сек
 Сортировка пузырьком, Отсортированный в обратном порядке, 80000, 60.8972 сек
 Сортировка пузырьком, Отсортированный в обратном порядке, 90000, 78.4868 сек
 Сортировка пузырьком, Отсортированный в обратном порядке, 100000, 95.2963 сек
 Сортировка пузырьком, Отсортированный, 1000, 0.004227 сек
 Сортировка пузырьком, Отсортированный, 10000, 0.415624 сек
 Сортировка пузырьком, Отсортированный, 20000, 1.67255 сек
 Сортировка пузырьком, Отсортированный, 30000, 3.75733 сек
 Сортировка пузырьком, Отсортированный, 40000, 6.65506 сек
 Сортировка пузырьком, Отсортированный, 50000, 10.398 сек
 Сортировка пузырьком, Отсортированный, 60000, 14.995 сек
 Сортировка пузырьком, Отсортированный, 70000, 20.4424 сек
 Сортировка пузырьком, Отсортированный, 80000, 26.6691 сек
 Сортировка пузырьком, Отсортированный, 90000, 33.7072 сек
 Сортировка пузырьком, Отсортированный, 100000, 41.7141 сек
 Сортировка слиянием, Случайный, 1000, 0.0017923 сек
 Сортировка слиянием, Случайный, 10000, 0.0186122 сек
 Сортировка слиянием, Случайный, 20000, 0.0384747 сек
 Сортировка слиянием, Случайный, 30000, 0.0568391 сек
 Сортировка слиянием, Случайный, 40000, 0.0753719 сек
 Сортировка слиянием, Случайный, 50000, 0.0962897 сек
 Сортировка слиянием, Случайный, 60000, 0.115891 сек
 Сортировка слиянием, Случайный, 70000, 0.134714 сек
 Сортировка слиянием, Случайный, 80000, 0.153706 сек
 Сортировка слиянием, Случайный, 90000, 0.173977 сек
 Сортировка слиянием, Случайный, 100000, 0.194453 сек
 Сортировка слиянием, Почти отсортированный, 1000, 0.0016408 сек
 Сортировка слиянием, Почти отсортированный, 10000, 0.01777 сек
 Сортировка слиянием, Почти отсортированный, 20000, 0.0352967 сек
 Сортировка слиянием, Почти отсортированный, 30000, 0.0534986 сек
 Сортировка слиянием, Почти отсортированный, 40000, 0.0705817 сек
 Сортировка слиянием, Почти отсортированный, 50000, 0.0895214 сек
 Сортировка слиянием, Почти отсортированный, 60000, 0.108159 сек
 Сортировка слиянием, Почти отсортированный, 70000, 0.12538 сек
 Сортировка слиянием, Почти отсортированный, 80000, 0.143747 сек
 Сортировка слиянием, Почти отсортированный, 90000, 0.16271 сек
 Сортировка слиянием, Почти отсортированный, 100000, 0.180245 сек
 Сортировка слиянием, Отсортированный в обратном порядке, 1000, 0.00169 сек
 Сортировка слиянием, Отсортированный в обратном порядке, 10000, 0.0173551 сек
 Сортировка слиянием, Отсортированный в обратном порядке, 20000, 0.0353338 сек
 Сортировка слиянием, Отсортированный в обратном порядке, 30000, 0.0529814 сек
 Сортировка слиянием, Отсортированный в обратном порядке, 40000, 0.0725801 сек
 Сортировка слиянием, Отсортированный в обратном порядке, 50000, 0.08927 сек
 Сортировка слиянием, Отсортированный в обратном порядке, 60000, 0.107411 сек
 Сортировка слиянием, Отсортированный в обратном порядке, 70000, 0.124321 сек
 Сортировка слиянием, Отсортированный в обратном порядке, 80000, 0.142248 сек
 Сортировка слиянием, Отсортированный в обратном порядке, 90000, 0.161477 сек
 Сортировка слиянием, Отсортированный в обратном порядке, 100000, 0.179311 сек
 Сортировка слиянием, Отсортированный, 1000, 0.0017534 сек
